Location,FIPS,Category,geoid,pctChange,geoID
"Lauderdale County, Alabama",1077,Cardiovascular diseases,0500000US01077,-40.04,0500000US01077
"Lawrence County, Alabama",1079,Cardiovascular diseases,0500000US01079,-34.02,0500000US01079
"Lee County, Alabama",1081,Cardiovascular diseases,0500000US01081,-48.22,0500000US01081
"Limestone County, Alabama",1083,Cardiovascular diseases,0500000US01083,-45.33,0500000US01083
"Lowndes County, Alabama",1085,Cardiovascular diseases,0500000US01085,-24.75,0500000US01085
"Macon County, Alabama",1087,Cardiovascular diseases,0500000US01087,-28.7,0500000US01087
"Madison County, Alabama",1089,Cardiovascular diseases,0500000US01089,-56.74,0500000US01089
"Marengo County, Alabama",1091,Cardiovascular diseases,0500000US01091,-32.98,0500000US01091
"Marion County, Alabama",1093,Cardiovascular diseases,0500000US01093,-20.43,0500000US01093
"Marshall County, Alabama",1095,Cardiovascular diseases,0500000US01095,-38.51,0500000US01095
"Mobile County, Alabama",1097,Cardiovascular diseases,0500000US01097,-37.93,0500000US01097
"Monroe County, Alabama",1099,Cardiovascular diseases,0500000US01099,-31.73,0500000US01099
"Montgomery County, Alabama",1101,Cardiovascular diseases,0500000US01101,-49.63,0500000US01101
"Morgan County, Alabama",1103,Cardiovascular diseases,0500000US01103,-38.57,0500000US01103
"Perry County, Alabama",1105,Cardiovascular diseases,0500000US01105,-11.29,0500000US01105
"Pickens County, Alabama",1107,Cardiovascular diseases,0500000US01107,-33.63,0500000US01107
"Pike County, Alabama",1109,Cardiovascular diseases,0500000US01109,-40.19,0500000US01109
"Randolph County, Alabama",1111,Cardiovascular diseases,0500000US01111,-34.66,0500000US01111
"Russell County, Alabama",1113,Cardiovascular diseases,0500000US01113,-60.5,0500000US01113
"Saint Clair County, Alabama",1115,Cardiovascular diseases,0500000US01115,-32.05,0500000US01115
"Shelby County, Alabama",1117,Cardiovascular diseases,0500000US01117,-55.67,0500000US01117
"Sumter County, Alabama",1119,Cardiovascular diseases,0500000US01119,-34.23,0500000US01119
"Talladega County, Alabama",1121,Cardiovascular diseases,0500000US01121,-38.6,0500000US01121
"Tallapoosa County, Alabama",1123,Cardiovascular diseases,0500000US01123,-42.86,0500000US01123
"Tuscaloosa County, Alabama",1125,Cardiovascular diseases,0500000US01125,-36.04,0500000US01125
"Walker County, Alabama",1127,Cardiovascular diseases,0500000US01127,-29.81,0500000US01127
"Washington County, Alabama",1129,Cardiovascular diseases,0500000US01129,-41.66,0500000US01129
"Wilcox County, Alabama",1131,Cardiovascular diseases,0500000US01131,-32.29,0500000US01131
"Winston County, Alabama",1133,Cardiovascular diseases,0500000US01133,-46.79,0500000US01133
"Aleutians East Borough, Alaska",2013,Cardiovascular diseases,0500000US02013,-74.13,0500000US02013
"Aleutians West Census Area, Alaska",2016,Cardiovascular diseases,0500000US02016,-74.13,0500000US02016
"Anchorage Municipality, Alaska",2020,Cardiovascular diseases,0500000US02020,-43.91,0500000US02020
"Bethel Census Area, Alaska",2050,Cardiovascular diseases,0500000US02050,-38.74,0500000US02050
"Bristol Bay Borough, Alaska",2060,Cardiovascular diseases,0500000US02060,-49.88,0500000US02060
"Denali Borough, Alaska",2068,Cardiovascular diseases,0500000US02068,-48.74,0500000US02068
"Dillingham Census Area, Alaska",2070,Cardiovascular diseases,0500000US02070,-54.64,0500000US02070
"Fairbanks North Star Borough, Alaska",2090,Cardiovascular diseases,0500000US02090,-53.8,0500000US02090
"Haines Borough, Alaska",2100,Cardiovascular diseases,0500000US02100,-43.53,0500000US02100
"Hoonah-Angoon Census Area, Alaska",2105,Cardiovascular diseases,0500000US02105,-60.99,0500000US02105
"Juneau City and Borough, Alaska",2110,Cardiovascular diseases,0500000US02110,-47.82,0500000US02110
"Kenai Peninsula Borough, Alaska",2122,Cardiovascular diseases,0500000US02122,-48.44,0500000US02122
"Ketchikan Gateway Borough, Alaska",2130,Cardiovascular diseases,0500000US02130,-49.4,0500000US02130
"Kodiak Island Borough, Alaska",2150,Cardiovascular diseases,0500000US02150,-61.71,0500000US02150
"Kusilvak Census Area, Alaska",2158,Cardiovascular diseases,0500000US02158,-39.06,0500000US02158
"Lake and Peninsula Borough, Alaska",2164,Cardiovascular diseases,0500000US02164,-54.64,0500000US02164
"Matanuska-Susitna Borough, Alaska",2170,Cardiovascular diseases,0500000US02170,-47.68,0500000US02170
"Nome Census Area, Alaska",2180,Cardiovascular diseases,0500000US02180,-40.15,0500000US02180
"North Slope Borough, Alaska",2185,Cardiovascular diseases,0500000US02185,-67.64,0500000US02185
"Northwest Arctic Borough, Alaska",2188,Cardiovascular diseases,0500000US02188,-50.11,0500000US02188
"Petersburg Borough, Alaska",2195,Cardiovascular diseases,0500000US02195,-49.4,0500000US02195
"Prince of Wales-Hyder Census Area, Alaska",2198,Cardiovascular diseases,0500000US02198,-49.4,0500000US02198
"Sitka City and Borough, Alaska",2220,Cardiovascular diseases,0500000US02220,-62.17,0500000US02220
"Skagway Municipality, Alaska",2230,Cardiovascular diseases,0500000US02230,-60.99,0500000US02230
"Southeast Fairbanks Census Area, Alaska",2240,Cardiovascular diseases,0500000US02240,-47.11,0500000US02240
"Valdez-Cordova Census Area, Alaska",2261,Cardiovascular diseases,0500000US02261,-49.49,0500000US02261
"Wrangell City and Borough, Alaska",2275,Cardiovascular diseases,0500000US02275,-49.4,0500000US02275
"Yakutat City and Borough, Alaska",2282,Cardiovascular diseases,0500000US02282,-60.99,0500000US02282
"Yukon-Koyukuk Census Area, Alaska",2290,Cardiovascular diseases,0500000US02290,-48.74,0500000US02290
"Apache County, Arizona",4001,Cardiovascular diseases,0500000US04001,-36.9,0500000US04001
"Cochise County, Arizona",4003,Cardiovascular diseases,0500000US04003,-39.26,0500000US04003
"Coconino County, Arizona",4005,Cardiovascular diseases,0500000US04005,-46.69,0500000US04005
"Gila County, Arizona",4007,Cardiovascular diseases,0500000US04007,-44.62,0500000US04007
"Graham County, Arizona",4009,Cardiovascular diseases,0500000US04009,-39.14,0500000US04009
"Greenlee County, Arizona",4011,Cardiovascular diseases,0500000US04011,-46.65,0500000US04011
"La Paz County, Arizona",4012,Cardiovascular diseases,0500000US04012,-54.59,0500000US04012
"Maricopa County, Arizona",4013,Cardiovascular diseases,0500000US04013,-50.99,0500000US04013
"Mohave County, Arizona",4015,Cardiovascular diseases,0500000US04015,-34.81,0500000US04015
"Navajo County, Arizona",4017,Cardiovascular diseases,0500000US04017,-41.59,0500000US04017
"Pima County, Arizona",4019,Cardiovascular diseases,0500000US04019,-47.2,0500000US04019
"Pinal County, Arizona",4021,Cardiovascular diseases,0500000US04021,-61.03,0500000US04021
"Santa Cruz County, Arizona",4023,Cardiovascular diseases,0500000US04023,-56.72,0500000US04023
"Yavapai County, Arizona",4025,Cardiovascular diseases,0500000US04025,-49.14,0500000US04025
"Yuma County, Arizona",4027,Cardiovascular diseases,0500000US04027,-54.59,0500000US04027
"Arkansas County, Arkansas",5001,Cardiovascular diseases,0500000US05001,-32.94,0500000US05001
"Ashley County, Arkansas",5003,Cardiovascular diseases,0500000US05003,-28.11,0500000US05003
"Baxter County, Arkansas",5005,Cardiovascular diseases,0500000US05005,-38.94,0500000US05005
"Benton County, Arkansas",5007,Cardiovascular diseases,0500000US05007,-45.46,0500000US05007
"Boone County, Arkansas",5009,Cardiovascular diseases,0500000US05009,-24.69,0500000US05009
"Bradley County, Arkansas",5011,Cardiovascular diseases,0500000US05011,-24.11,0500000US05011
"Calhoun County, Arkansas",5013,Cardiovascular diseases,0500000US05013,-40.16,0500000US05013
"Carroll County, Arkansas",5015,Cardiovascular diseases,0500000US05015,-37.91,0500000US05015
"Chicot County, Arkansas",5017,Cardiovascular diseases,0500000US05017,-19.19,0500000US05017
"Clark County, Arkansas",5019,Cardiovascular diseases,0500000US05019,-29.55,0500000US05019
"Clay County, Arkansas",5021,Cardiovascular diseases,0500000US05021,-23.41,0500000US05021
"Cleburne County, Arkansas",5023,Cardiovascular diseases,0500000US05023,-38.98,0500000US05023
"Cleveland County, Arkansas",5025,Cardiovascular diseases,0500000US05025,-32.49,0500000US05025
"Columbia County, Arkansas",5027,Cardiovascular diseases,0500000US05027,-29.13,0500000US05027
"Conway County, Arkansas",5029,Cardiovascular diseases,0500000US05029,-38.15,0500000US05029
"Craighead County, Arkansas",5031,Cardiovascular diseases,0500000US05031,-39.44,0500000US05031
"Crawford County, Arkansas",5033,Cardiovascular diseases,0500000US05033,-39.01,0500000US05033
"Crittenden County, Arkansas",5035,Cardiovascular diseases,0500000US05035,-39.46,0500000US05035
"Cross County, Arkansas",5037,Cardiovascular diseases,0500000US05037,-39.59,0500000US05037
"Dallas County, Arkansas",5039,Cardiovascular diseases,0500000US05039,-33.22,0500000US05039
"Desha County, Arkansas",5041,Cardiovascular diseases,0500000US05041,-18.29,0500000US05041
"Drew County, Arkansas",5043,Cardiovascular diseases,0500000US05043,-33.06,0500000US05043
"Faulkner County, Arkansas",5045,Cardiovascular diseases,0500000US05045,-38.71,0500000US05045
"Franklin County, Arkansas",5047,Cardiovascular diseases,0500000US05047,-33.02,0500000US05047
"Fulton County, Arkansas",5049,Cardiovascular diseases,0500000US05049,-32.15,0500000US05049
"Garland County, Arkansas",5051,Cardiovascular diseases,0500000US05051,-38.69,0500000US05051
"Grant County, Arkansas",5053,Cardiovascular diseases,0500000US05053,-41.78,0500000US05053
"Greene County, Arkansas",5055,Cardiovascular diseases,0500000US05055,-31.78,0500000US05055
"Hempstead County, Arkansas",5057,Cardiovascular diseases,0500000US05057,-22.25,0500000US05057
"Hot Spring County, Arkansas",5059,Cardiovascular diseases,0500000US05059,-34.07,0500000US05059
"Howard County, Arkansas",5061,Cardiovascular diseases,0500000US05061,-22.4,0500000US05061
"Independence County, Arkansas",5063,Cardiovascular diseases,0500000US05063,-31.87,0500000US05063
"Izard County, Arkansas",5065,Cardiovascular diseases,0500000US05065,-35.1,0500000US05065
"Jackson County, Arkansas",5067,Cardiovascular diseases,0500000US05067,-24.01,0500000US05067
"Jefferson County, Arkansas",5069,Cardiovascular diseases,0500000US05069,-29.31,0500000US05069
"Johnson County, Arkansas",5071,Cardiovascular diseases,0500000US05071,-34.24,0500000US05071
"Lafayette County, Arkansas",5073,Cardiovascular diseases,0500000US05073,-28.18,0500000US05073
"Lawrence County, Arkansas",5075,Cardiovascular diseases,0500000US05075,-31.68,0500000US05075
"Lee County, Arkansas",5077,Cardiovascular diseases,0500000US05077,-35.23,0500000US05077
"Lincoln County, Arkansas",5079,Cardiovascular diseases,0500000US05079,-29.97,0500000US05079
"Little River County, Arkansas",5081,Cardiovascular diseases,0500000US05081,-26.38,0500000US05081
"Logan County, Arkansas",5083,Cardiovascular diseases,0500000US05083,-34.81,0500000US05083
"Lonoke County, Arkansas",5085,Cardiovascular diseases,0500000US05085,-39.66,0500000US05085
"Madison County, Arkansas",5087,Cardiovascular diseases,0500000US05087,-31.21,0500000US05087
"Marion County, Arkansas",5089,Cardiovascular diseases,0500000US05089,-30.28,0500000US05089
"Miller County, Arkansas",5091,Cardiovascular diseases,0500000US05091,-39.47,0500000US05091
"Mississippi County, Arkansas",5093,Cardiovascular diseases,0500000US05093,-30.06,0500000US05093
"Monroe County, Arkansas",5095,Cardiovascular diseases,0500000US05095,-34.28,0500000US05095
"Montgomery County, Arkansas",5097,Cardiovascular diseases,0500000US05097,-36.71,0500000US05097
"Nevada County, Arkansas",5099,Cardiovascular diseases,0500000US05099,-28.04,0500000US05099
"Newton County, Arkansas",5101,Cardiovascular diseases,0500000US05101,-31.98,0500000US05101
"Ouachita County, Arkansas",5103,Cardiovascular diseases,0500000US05103,-27.35,0500000US05103
"Perry County, Arkansas",5105,Cardiovascular diseases,0500000US05105,-42.28,0500000US05105
"Phillips County, Arkansas",5107,Cardiovascular diseases,0500000US05107,-34.34,0500000US05107
"Pike County, Arkansas",5109,Cardiovascular diseases,0500000US05109,-26.37,0500000US05109
"Poinsett County, Arkansas",5111,Cardiovascular diseases,0500000US05111,-24.25,0500000US05111
"Polk County, Arkansas",5113,Cardiovascular diseases,0500000US05113,-30.13,0500000US05113
"Pope County, Arkansas",5115,Cardiovascular diseases,0500000US05115,-34.02,0500000US05115
"Prairie County, Arkansas",5117,Cardiovascular diseases,0500000US05117,-38.76,0500000US05117
"Pulaski County, Arkansas",5119,Cardiovascular diseases,0500000US05119,-44.05,0500000US05119
"Randolph County, Arkansas",5121,Cardiovascular diseases,0500000US05121,-36.09,0500000US05121
"Saint Francis County, Arkansas",5123,Cardiovascular diseases,0500000US05123,-33.61,0500000US05123
"Saline County, Arkansas",5125,Cardiovascular diseases,0500000US05125,-47.05,0500000US05125
"Scott County, Arkansas",5127,Cardiovascular diseases,0500000US05127,-32.83,0500000US05127
"Searcy County, Arkansas",5129,Cardiovascular diseases,0500000US05129,-29.11,0500000US05129
"Sebastian County, Arkansas",5131,Cardiovascular diseases,0500000US05131,-35.19,0500000US05131
"Sevier County, Arkansas",5133,Cardiovascular diseases,0500000US05133,-38.87,0500000US05133
"Sharp County, Arkansas",5135,Cardiovascular diseases,0500000US05135,-26.86,0500000US05135
"Stone County, Arkansas",5137,Cardiovascular diseases,0500000US05137,-44.38,0500000US05137
"Union County, Arkansas",5139,Cardiovascular diseases,0500000US05139,-36.42,0500000US05139
"Van Buren County, Arkansas",5141,Cardiovascular diseases,0500000US05141,-38.56,0500000US05141
"Washington County, Arkansas",5143,Cardiovascular diseases,0500000US05143,-37.62,0500000US05143
"White County, Arkansas",5145,Cardiovascular diseases,0500000US05145,-28.58,0500000US05145
"Woodruff County, Arkansas",5147,Cardiovascular diseases,0500000US05147,-28.03,0500000US05147
"Yell County, Arkansas",5149,Cardiovascular diseases,0500000US05149,-30.91,0500000US05149
"Alameda County, California",6001,Cardiovascular diseases,0500000US06001,-59.88,0500000US06001
"Alpine County, California",6003,Cardiovascular diseases,0500000US06003,-46.16,0500000US06003
"Amador County, California",6005,Cardiovascular diseases,0500000US06005,-41.71,0500000US06005
"Butte County, California",6007,Cardiovascular diseases,0500000US06007,-36.99,0500000US06007
"Calaveras County, California",6009,Cardiovascular diseases,0500000US06009,-46.42,0500000US06009
"Colusa County, California",6011,Cardiovascular diseases,0500000US06011,-58.97,0500000US06011
"Contra Costa County, California",6013,Cardiovascular diseases,0500000US06013,-52.11,0500000US06013
"Del Norte County, California",6015,Cardiovascular diseases,0500000US06015,-43.29,0500000US06015
"El Dorado County, California",6017,Cardiovascular diseases,0500000US06017,-51.81,0500000US06017
"Fresno County, California",6019,Cardiovascular diseases,0500000US06019,-40.21,0500000US06019
"Glenn County, California",6021,Cardiovascular diseases,0500000US06021,-50.62,0500000US06021
"Humboldt County, California",6023,Cardiovascular diseases,0500000US06023,-39.68,0500000US06023
"Imperial County, California",6025,Cardiovascular diseases,0500000US06025,-57.49,0500000US06025
"Inyo County, California",6027,Cardiovascular diseases,0500000US06027,-41.56,0500000US06027
"Kern County, California",6029,Cardiovascular diseases,0500000US06029,-40.46,0500000US06029
"Kings County, California",6031,Cardiovascular diseases,0500000US06031,-55.54,0500000US06031
"Lake County, California",6033,Cardiovascular diseases,0500000US06033,-33.14,0500000US06033
"Lassen County, California",6035,Cardiovascular diseases,0500000US06035,-42.96,0500000US06035
"Los Angeles County, California",6037,Cardiovascular diseases,0500000US06037,-58.99,0500000US06037
"Madera County, California",6039,Cardiovascular diseases,0500000US06039,-42.26,0500000US06039
"Marin County, California",6041,Cardiovascular diseases,0500000US06041,-62.6,0500000US06041
"Mariposa County, California",6043,Cardiovascular diseases,0500000US06043,-49.86,0500000US06043
"Mendocino County, California",6045,Cardiovascular diseases,0500000US06045,-43.65,0500000US06045
"Merced County, California",6047,Cardiovascular diseases,0500000US06047,-44.69,0500000US06047
"Modoc County, California",6049,Cardiovascular diseases,0500000US06049,-39.92,0500000US06049
"Mono County, California",6051,Cardiovascular diseases,0500000US06051,-52.33,0500000US06051
"Monterey County, California",6053,Cardiovascular diseases,0500000US06053,-54.87,0500000US06053
"Napa County, California",6055,Cardiovascular diseases,0500000US06055,-40.79,0500000US06055
"Nevada County, California",6057,Cardiovascular diseases,0500000US06057,-47.77,0500000US06057
"Orange County, California",6059,Cardiovascular diseases,0500000US06059,-53.28,0500000US06059
"Placer County, California",6061,Cardiovascular diseases,0500000US06061,-54.83,0500000US06061
"Plumas County, California",6063,Cardiovascular diseases,0500000US06063,-41.83,0500000US06063
"Riverside County, California",6065,Cardiovascular diseases,0500000US06065,-51.46,0500000US06065
"Sacramento County, California",6067,Cardiovascular diseases,0500000US06067,-46.18,0500000US06067
"San Benito County, California",6069,Cardiovascular diseases,0500000US06069,-54.38,0500000US06069
"San Bernardino County, California",6071,Cardiovascular diseases,0500000US06071,-47.85,0500000US06071
"San Diego County, California",6073,Cardiovascular diseases,0500000US06073,-50.97,0500000US06073
"San Francisco County, California",6075,Cardiovascular diseases,0500000US06075,-61.93,0500000US06075
"San Joaquin County, California",6077,Cardiovascular diseases,0500000US06077,-44.03,0500000US06077
"San Luis Obispo County, California",6079,Cardiovascular diseases,0500000US06079,-47.29,0500000US06079
"San Mateo County, California",6081,Cardiovascular diseases,0500000US06081,-58.47,0500000US06081
"Santa Barbara County, California",6083,Cardiovascular diseases,0500000US06083,-45.89,0500000US06083
"Santa Clara County, California",6085,Cardiovascular diseases,0500000US06085,-60.25,0500000US06085
"Santa Cruz County, California",6087,Cardiovascular diseases,0500000US06087,-47.27,0500000US06087
"Shasta County, California",6089,Cardiovascular diseases,0500000US06089,-32.66,0500000US06089
"Sierra County, California",6091,Cardiovascular diseases,0500000US06091,-42.5,0500000US06091
"Siskiyou County, California",6093,Cardiovascular diseases,0500000US06093,-42.13,0500000US06093
"Solano County, California",6095,Cardiovascular diseases,0500000US06095,-55.79,0500000US06095
"Sonoma County, California",6097,Cardiovascular diseases,0500000US06097,-48.4,0500000US06097
"Stanislaus County, California",6099,Cardiovascular diseases,0500000US06099,-36.03,0500000US06099
"Sutter County, California",6101,Cardiovascular diseases,0500000US06101,-46.16,0500000US06101
"Tehama County, California",6103,Cardiovascular diseases,0500000US06103,-44.17,0500000US06103
"Trinity County, California",6105,Cardiovascular diseases,0500000US06105,-48,0500000US06105
"Tulare County, California",6107,Cardiovascular diseases,0500000US06107,-41.44,0500000US06107
"Tuolumne County, California",6109,Cardiovascular diseases,0500000US06109,-42.16,0500000US06109
"Ventura County, California",6111,Cardiovascular diseases,0500000US06111,-51.61,0500000US06111
"Yolo County, California",6113,Cardiovascular diseases,0500000US06113,-60.15,0500000US06113
"Yuba County, California",6115,Cardiovascular diseases,0500000US06115,-36.02,0500000US06115
"Adams County, Colorado",8001,Cardiovascular diseases,0500000US08001,-46.64,0500000US08001
"Alamosa County, Colorado",8003,Cardiovascular diseases,0500000US08003,-39.2,0500000US08003
"Arapahoe County, Colorado",8005,Cardiovascular diseases,0500000US08005,-46.64,0500000US08005
"Archuleta County, Colorado",8007,Cardiovascular diseases,0500000US08007,-57.07,0500000US08007
"Baca County, Colorado",8009,Cardiovascular diseases,0500000US08009,-38.39,0500000US08009
"Bent County, Colorado",8011,Cardiovascular diseases,0500000US08011,-42.69,0500000US08011
"Boulder County, Colorado",8013,Cardiovascular diseases,0500000US08013,-46.64,0500000US08013
"Broomfield County, Colorado",8014,Cardiovascular diseases,0500000US08014,-46.64,0500000US08014
"Chaffee County, Colorado",8015,Cardiovascular diseases,0500000US08015,-59.01,0500000US08015
"Cheyenne County, Colorado",8017,Cardiovascular diseases,0500000US08017,-49.1,0500000US08017
"Clear Creek County, Colorado",8019,Cardiovascular diseases,0500000US08019,-54.77,0500000US08019
"Conejos County, Colorado",8021,Cardiovascular diseases,0500000US08021,-43.37,0500000US08021
"Costilla County, Colorado",8023,Cardiovascular diseases,0500000US08023,-44.53,0500000US08023
"Crowley County, Colorado",8025,Cardiovascular diseases,0500000US08025,-51.08,0500000US08025
"Custer County, Colorado",8027,Cardiovascular diseases,0500000US08027,-55.31,0500000US08027
"Delta County, Colorado",8029,Cardiovascular diseases,0500000US08029,-28.4,0500000US08029
"Denver County, Colorado",8031,Cardiovascular diseases,0500000US08031,-46.64,0500000US08031
"Dolores County, Colorado",8033,Cardiovascular diseases,0500000US08033,-39.64,0500000US08033
"Douglas County, Colorado",8035,Cardiovascular diseases,0500000US08035,-64.67,0500000US08035
"Eagle County, Colorado",8037,Cardiovascular diseases,0500000US08037,-67.46,0500000US08037
"El Paso County, Colorado",8041,Cardiovascular diseases,0500000US08041,-46.65,0500000US08041
"Elbert County, Colorado",8039,Cardiovascular diseases,0500000US08039,-53.29,0500000US08039
"Fremont County, Colorado",8043,Cardiovascular diseases,0500000US08043,-46.34,0500000US08043
"Garfield County, Colorado",8045,Cardiovascular diseases,0500000US08045,-47.09,0500000US08045
"Gilpin County, Colorado",8047,Cardiovascular diseases,0500000US08047,-46.87,0500000US08047
"Grand County, Colorado",8049,Cardiovascular diseases,0500000US08049,-60.37,0500000US08049
"Gunnison County, Colorado",8051,Cardiovascular diseases,0500000US08051,-54.84,0500000US08051
"Hinsdale County, Colorado",8053,Cardiovascular diseases,0500000US08053,-67.27,0500000US08053
"Huerfano County, Colorado",8055,Cardiovascular diseases,0500000US08055,-40.72,0500000US08055
"Jackson County, Colorado",8057,Cardiovascular diseases,0500000US08057,-53.21,0500000US08057
"Jefferson County, Colorado",8059,Cardiovascular diseases,0500000US08059,-46.64,0500000US08059
"Kiowa County, Colorado",8061,Cardiovascular diseases,0500000US08061,-47.55,0500000US08061
"Kit Carson County, Colorado",8063,Cardiovascular diseases,0500000US08063,-49.6,0500000US08063
"La Plata County, Colorado",8067,Cardiovascular diseases,0500000US08067,-54.47,0500000US08067
"Lake County, Colorado",8065,Cardiovascular diseases,0500000US08065,-56.08,0500000US08065
"Larimer County, Colorado",8069,Cardiovascular diseases,0500000US08069,-44.42,0500000US08069
"Las Animas County, Colorado",8071,Cardiovascular diseases,0500000US08071,-42.97,0500000US08071
"Lincoln County, Colorado",8073,Cardiovascular diseases,0500000US08073,-51.65,0500000US08073
"Logan County, Colorado",8075,Cardiovascular diseases,0500000US08075,-43.35,0500000US08075
"Mesa County, Colorado",8077,Cardiovascular diseases,0500000US08077,-38.05,0500000US08077
"Mineral County, Colorado",8079,Cardiovascular diseases,0500000US08079,-52.76,0500000US08079
"Moffat County, Colorado",8081,Cardiovascular diseases,0500000US08081,-43.96,0500000US08081
"Montezuma County, Colorado",8083,Cardiovascular diseases,0500000US08083,-35.16,0500000US08083
"Montrose County, Colorado",8085,Cardiovascular diseases,0500000US08085,-40.17,0500000US08085
"Morgan County, Colorado",8087,Cardiovascular diseases,0500000US08087,-51.46,0500000US08087
"Otero County, Colorado",8089,Cardiovascular diseases,0500000US08089,-39.76,0500000US08089
"Ouray County, Colorado",8091,Cardiovascular diseases,0500000US08091,-51.98,0500000US08091
"Park County, Colorado",8093,Cardiovascular diseases,0500000US08093,-57,0500000US08093
"Phillips County, Colorado",8095,Cardiovascular diseases,0500000US08095,-49.31,0500000US08095
"Pitkin County, Colorado",8097,Cardiovascular diseases,0500000US08097,-66.9,0500000US08097
"Prowers County, Colorado",8099,Cardiovascular diseases,0500000US08099,-50.71,0500000US08099
"Pueblo County, Colorado",8101,Cardiovascular diseases,0500000US08101,-47.51,0500000US08101
"Rio Blanco County, Colorado",8103,Cardiovascular diseases,0500000US08103,-48.47,0500000US08103
"Rio Grande County, Colorado",8105,Cardiovascular diseases,0500000US08105,-37.37,0500000US08105
"Routt County, Colorado",8107,Cardiovascular diseases,0500000US08107,-62.48,0500000US08107
"Saguache County, Colorado",8109,Cardiovascular diseases,0500000US08109,-52.97,0500000US08109
"San Juan County, Colorado",8111,Cardiovascular diseases,0500000US08111,-50.16,0500000US08111
"San Miguel County, Colorado",8113,Cardiovascular diseases,0500000US08113,-56.78,0500000US08113
"Sedgwick County, Colorado",8115,Cardiovascular diseases,0500000US08115,-40.24,0500000US08115
"Summit County, Colorado",8117,Cardiovascular diseases,0500000US08117,-63.57,0500000US08117
"Teller County, Colorado",8119,Cardiovascular diseases,0500000US08119,-53.19,0500000US08119
"Washington County, Colorado",8121,Cardiovascular diseases,0500000US08121,-53.05,0500000US08121
"Weld County, Colorado",8123,Cardiovascular diseases,0500000US08123,-46.64,0500000US08123
"Yuma County, Colorado",8125,Cardiovascular diseases,0500000US08125,-48.45,0500000US08125
